epoch,accuracy,loss,val_accuracy,val_loss
0,0.5157294273376465,2.230654239654541,0.663635790348053,1.7308696508407593
1,0.7231515049934387,1.2971357107162476,0.703381359577179,1.4477664232254028
2,0.7514093518257141,1.067813754081726,0.715492844581604,1.3073970079421997
3,0.7672584056854248,0.9414688348770142,0.7173505425453186,1.247727632522583
4,0.7747248411178589,0.8759621977806091,0.7361719012260437,1.166933298110962
5,0.7859415411949158,0.8130350708961487,0.735230565071106,1.143999457359314
6,0.795925498008728,0.7633737325668335,0.7452060580253601,1.096745491027832
7,0.8042404055595398,0.7258120775222778,0.7523120045661926,1.0693280696868896
8,0.8137279152870178,0.684773862361908,0.7576705813407898,1.0216305255889893
9,0.8182622194290161,0.6608399748802185,0.7574836015701294,0.9963564872741699
10,0.8243398070335388,0.6343618035316467,0.7638108134269714,0.9412441849708557
11,0.8312177658081055,0.6060882210731506,0.7650739550590515,0.9169164896011353
12,0.837797224521637,0.5799086093902588,0.767219603061676,0.8929762244224548
13,0.8441033959388733,0.5535666942596436,0.7671394348144531,0.8755586743354797
14,0.8464218974113464,0.5394299626350403,0.7733362317085266,0.8544924855232239
15,0.849336564540863,0.5259012579917908,0.7743775844573975,0.8397510647773743
16,0.8458603620529175,0.5310203433036804,0.7707878351211548,0.8380851149559021
17,0.8520498871803284,0.5116296410560608,0.7699405550956726,0.8430169820785522
18,0.8584298491477966,0.48810020089149475,0.7799442410469055,0.8054932951927185
19,0.867280900478363,0.4612449109554291,0.7759121656417847,0.8191275596618652
20,0.8692501187324524,0.45316043496131897,0.7772078514099121,0.812947154045105
21,0.8748381733894348,0.43759262561798096,0.7805500626564026,0.8025093674659729
22,0.8760945200920105,0.43397286534309387,0.7816786766052246,0.8013125658035278
23,0.8781002759933472,0.4284904897212982,0.7812232971191406,0.8017582893371582
24,0.8788857460021973,0.42511123418807983,0.781009316444397,0.8018770813941956
25,0.8787985444068909,0.4250178933143616,0.7811120748519897,0.8011216521263123
26,0.8780893683433533,0.42686620354652405,0.7813205718994141,0.8012627363204956
27,0.8807922005653381,0.41991502046585083,0.7811828851699829,0.8020718097686768
28,0.8786574602127075,0.4249159097671509,0.7813107967376709,0.8024343848228455
29,0.8783994317054749,0.4252813756465912,0.7814022302627563,0.8028861880302429
30,0.8797990083694458,0.42196229100227356,0.7815179228782654,0.8033158183097839
