epoch,accuracy,loss,val_accuracy,val_loss
0,0.36500000953674316,1.454176902770996,0.6700000166893005,1.1218403577804565
1,0.5883333086967468,1.1124250888824463,0.8899999856948853,0.8465655446052551
2,0.7283333539962769,0.8994253277778625,0.9300000071525574,0.6780719757080078
3,0.7900000214576721,0.7613500952720642,0.9449999928474426,0.564374566078186
4,0.8274999856948853,0.678622305393219,0.9549999833106995,0.48644328117370605
5,0.8575000166893005,0.5888788104057312,0.9599999785423279,0.42972010374069214
6,0.8966666460037231,0.5427895784378052,0.9649999737739563,0.38284575939178467
7,0.903333306312561,0.501987874507904,0.9649999737739563,0.3474254906177521
8,0.8999999761581421,0.4577666223049164,0.9700000286102295,0.3193036913871765
9,0.9083333611488342,0.4478568434715271,0.9700000286102295,0.29740065336227417
10,0.9191666841506958,0.4085109233856201,0.9700000286102295,0.2789934277534485
11,0.9325000047683716,0.3885607123374939,0.9750000238418579,0.26446494460105896
12,0.9241666793823242,0.38790830969810486,0.9750000238418579,0.2530771493911743
13,0.9291666746139526,0.3773225247859955,0.9750000238418579,0.24119050800800323
14,0.9383333325386047,0.347188800573349,0.9750000238418579,0.23203963041305542
15,0.9325000047683716,0.3554408848285675,0.9800000190734863,0.22356632351875305
16,0.9474999904632568,0.31426599621772766,0.9800000190734863,0.21640661358833313
17,0.9433333277702332,0.31693679094314575,0.9800000190734863,0.21035069227218628
18,0.9333333373069763,0.3251692056655884,0.9800000190734863,0.2038051187992096
19,0.9474999904632568,0.302126407623291,0.9800000190734863,0.19891250133514404
